q_no,str_disagree,disagree,neutral,agree,str_agree
Q1,6.5,0,25.8,38.7,29
Q2,6.5,6.5,22.6,45.2,19.4
Q3,3.2,3.2,16.1,29,48.4
Q4,0,6.5,32.3,38.7,22.6
Q5,6.5,0,19.4,35.5,38.7
